,user_id,period_sub,total_fee,refund,personal,smallBiz,middleBiz,bigBiz,sign_in_count,period_use,sfx_free,sfx_peid,song_free,song_peid,etc,kids,vlog,story,beauty,review,talk,game,pet,eating,drone,corporate,freelancer,individual,student,unknown
2048,53647,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2049,53662,337 days,108900.0,0.0,12,0,0,0,9.0,20 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2050,53664,14 days,0.0,0.0,1,0,0,0,5.0,12 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2051,53678,41 days,9900.0,0.0,2,0,0,0,5.0,15 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2052,53681,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2053,53710,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2054,53719,41 days,9900.0,0.0,2,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2055,53722,41 days,9900.0,0.0,2,0,0,0,4.0,196 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2056,53724,41 days,9900.0,0.0,2,0,0,0,10.0,15 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2057,53728,14 days,0.0,0.0,1,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2058,53737,36 days,9900.0,1.0,2,0,0,0,13.0,594 days,13.0,0.0,6.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2059,53749,189 days,59400.0,0.0,7,0,0,0,4.0,238 days,0.0,0.0,14.0,23.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2060,53800,397 days,128700.0,0.0,14,0,0,0,15.0,488 days,0.0,10.0,1.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2061,53805,14 days,0.0,0.0,1,0,0,0,4.0,3 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2062,53812,248 days,79200.0,1.0,9,0,0,0,6.0,42 days,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2063,53816,41 days,9900.0,0.0,2,0,0,0,14.0,25 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2064,53819,41 days,9900.0,1.0,2,0,0,0,3.0,1 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2065,53825,37 days,9900.0,1.0,2,0,0,0,8.0,250 days,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2066,53828,31 days,13900.0,0.0,1,0,0,0,7.0,268 days,6.0,31.0,2.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2067,53830,365 days,83160.0,0.0,1,0,0,0,14.0,278 days,1.0,1.0,5.0,2.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
2068,53844,73 days,19800.0,0.0,3,0,0,0,3.0,27 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2069,53856,41 days,9900.0,1.0,2,0,0,0,5.0,15 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2070,53858,14 days,0.0,0.0,1,0,0,0,4.0,10 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2071,53862,394 days,128700.0,0.0,14,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2072,53865,601 days,198000.0,0.0,21,0,0,0,7.0,115 days,2.0,7.0,0.0,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2073,53867,14 days,0.0,0.0,1,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2074,53885,41 days,9900.0,0.0,2,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2075,53890,14 days,0.0,0.0,1,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2076,53898,14 days,0.0,0.0,1,0,0,0,4.0,13 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2077,53899,14 days,0.0,0.0,1,0,0,0,3.0,1 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2078,53902,545 days,178200.0,0.0,19,0,0,0,48.0,430 days,13.0,25.0,15.0,29.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2079,53903,14 days,0.0,0.0,1,0,0,0,1.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2080,53914,14 days,0.0,0.0,1,0,0,0,2.0,0 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2081,53925,71 days,19800.0,0.0,3,0,0,0,8.0,14 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
