,id,user_id,name,unsubscribed_at
272,1453070,96188,Unsubscribe Request,2022-04-06
273,1453076,96188,Unsubscribe Request,2022-04-06
274,1453078,96188,Unsubscribe Request,2022-04-06
275,1453075,96188,Unsubscribe Request,2022-04-06
276,1453077,96188,Unsubscribe Request,2022-04-06
277,1454153,64065,Unsubscribe Request,2022-04-06
278,1454620,52585,Unsubscribe Request,2022-04-06
279,1459065,72686,Unsubscribe Request,2022-04-06
280,1463080,97013,Unsubscribe Request,2022-04-06
281,1465217,96211,Unsubscribe Request,2022-04-06
282,1466068,62227,Unsubscribe Request,2022-04-06
283,1466222,90749,Unsubscribe Request,2022-04-06
284,1472049,94564,Unsubscribe Request,2022-04-06
285,1486259,94821,Unsubscribe Request,2022-04-07
286,1486949,97100,Unsubscribe Request,2022-04-07
287,1486951,97100,Unsubscribe Request,2022-04-07
288,1486953,97100,Unsubscribe Request,2022-04-07
289,1488155,96585,Unsubscribe Request,2022-04-07
290,1499384,96315,Unsubscribe Request,2022-04-07
291,1508195,96610,Unsubscribe Request,2022-04-08
292,1512011,49239,Unsubscribe Request,2022-04-08
293,1512016,49239,Unsubscribe Request,2022-04-08
294,1512863,96522,Unsubscribe Request,2022-04-08
295,1512864,96522,Unsubscribe Request,2022-04-08
296,1514307,93924,Unsubscribe Request,2022-04-08
297,1538953,14515,Unsubscribe Request,2022-04-09
298,1538957,14515,Unsubscribe Request,2022-04-09
299,1538958,14515,Unsubscribe Request,2022-04-09
300,1541077,96887,Unsubscribe Request,2022-04-09
301,1541078,96887,Unsubscribe Request,2022-04-09
302,1541652,97254,Unsubscribe Request,2022-04-09
303,1541653,97254,Unsubscribe Request,2022-04-09
304,1541654,97254,Unsubscribe Request,2022-04-09
305,1543357,97228,Unsubscribe Request,2022-04-09
306,1544421,94053,Unsubscribe Request,2022-04-09
307,1581639,60573,Unsubscribe Request,2022-04-10
308,1581642,60573,Unsubscribe Request,2022-04-10
309,1585180,92820,Unsubscribe Request,2022-04-10
310,1585701,96968,Unsubscribe Request,2022-04-10
311,1585705,96968,Unsubscribe Request,2022-04-10
312,1585818,18993,Unsubscribe Request,2022-04-10
313,1589363,96915,Unsubscribe Request,2022-04-10
314,1590394,95393,Unsubscribe Request,2022-04-10
315,1601057,81470,Unsubscribe Request,2022-04-11
316,1601528,97456,Unsubscribe Request,2022-04-11
317,1601532,97456,Unsubscribe Request,2022-04-11
318,1601544,97456,Unsubscribe Request,2022-04-11
319,1601547,97456,Unsubscribe Request,2022-04-11
320,1601559,97456,Unsubscribe Request,2022-04-11
321,1603152,94201,Unsubscribe Request,2022-04-11
322,1603846,97259,Unsubscribe Request,2022-04-11
323,1605398,85044,Unsubscribe Request,2022-04-11
324,1608155,97404,Unsubscribe Request,2022-04-11
325,1608159,97404,Unsubscribe Request,2022-04-11
326,1617568,97507,Unsubscribe Request,2022-04-11
327,1617570,97507,Unsubscribe Request,2022-04-11
328,1617572,97507,Unsubscribe Request,2022-04-11
329,1618707,97155,Unsubscribe Request,2022-04-11
330,1622353,96829,Unsubscribe Request,2022-04-11
331,1622958,47391,Unsubscribe Request,2022-04-11
332,1626484,91048,Unsubscribe Request,2022-04-11
333,1626485,91048,Unsubscribe Request,2022-04-11
334,1641378,95893,Unsubscribe Request,2022-04-12
335,1654323,95393,Unsubscribe Request,2022-04-12
336,1656734,97217,Unsubscribe Request,2022-04-12
337,1661886,77481,Unsubscribe Request,2022-04-12
338,1667211,96954,Unsubscribe Request,2022-04-12
339,1667215,96954,Unsubscribe Request,2022-04-12
340,1667942,97627,Unsubscribe Request,2022-04-12
341,1667943,97627,Unsubscribe Request,2022-04-12
342,1670576,97632,Unsubscribe Request,2022-04-13
343,1674718,40295,Unsubscribe Request,2022-04-13
344,1677872,5606,Unsubscribe Request,2022-04-13
345,1678385,96568,Unsubscribe Request,2022-04-13
346,1695835,80316,Unsubscribe Request,2022-04-13
347,1700902,97675,Unsubscribe Request,2022-04-13
348,1700903,97675,Unsubscribe Request,2022-04-13
349,1707644,97057,Unsubscribe Request,2022-04-13
350,1707657,97057,Unsubscribe Request,2022-04-13
351,1709088,96437,Unsubscribe Request,2022-04-14
352,1709089,96437,Unsubscribe Request,2022-04-14
353,1709387,96463,Unsubscribe Request,2022-04-14
354,1710179,97485,Unsubscribe Request,2022-04-14
355,1724101,97782,Unsubscribe Request,2022-04-14
356,1745148,96947,Unsubscribe Request,2022-04-15
357,1751781,94810,Unsubscribe Request,2022-04-15
358,1752515,97871,Unsubscribe Request,2022-04-15
359,1752518,97871,Unsubscribe Request,2022-04-15
360,1760602,97506,Unsubscribe Request,2022-04-15
361,1763058,38491,Unsubscribe Request,2022-04-15
362,1763695,97903,Unsubscribe Request,2022-04-15
363,1769448,97914,Unsubscribe Request,2022-04-15
364,1769449,97914,Unsubscribe Request,2022-04-15
365,1772003,97854,Unsubscribe Request,2022-04-15
366,1773432,72672,Unsubscribe Request,2022-04-15
367,1773938,97454,Unsubscribe Request,2022-04-16
368,1777726,97243,Unsubscribe Request,2022-04-16
369,1784585,75923,Unsubscribe Request,2022-04-16
370,1788084,97097,Unsubscribe Request,2022-04-16
371,1788087,97097,Unsubscribe Request,2022-04-16
372,1788089,97097,Unsubscribe Request,2022-04-16
373,1796884,95789,Unsubscribe Request,2022-04-16
374,1796887,95789,Unsubscribe Request,2022-04-16
375,1803882,55887,Unsubscribe Request,2022-04-17
376,1803883,55887,Unsubscribe Request,2022-04-17
377,1803903,97596,Unsubscribe Request,2022-04-17
378,1803905,97596,Unsubscribe Request,2022-04-17
